university,196
punjab,192
in,148
on,130
http,118
and,80
of,70
will,62
be,60
lovely,58
professional,58
the,58
10th,56
12th,56
delhi,56
brothers,54
team,54
akshay,52
sidharth,52
update,48
brothersaug14,46
ba,44
bsc,42
lahore,36
a,34
student,34
for,32
to,32
results,26
wil,22
announce,20
last,20
result,20
good,18
out,18
week,18
2015,16
campaign,16
council,16
kgc999,16
leaders,16
media,16
polls,16
reach,16
social,16
through,16
way,16
aug,14
pu,14
central,12
jacqueline,12
largest,12
one,12
announced,10
approves,10
b,10
cabinet,10
have,10
https,10
i,10
more,10
pakistan,10
paper 2010,10
private,10
rimt,10
varsity,10
with,10
17aug,8
annual,8
august,8
bahaudin,8
by,8
english,8
exam,8
is,8
past,8
uni,8
via,8
was,8
1,6
at,6
breakfast,6
complete,6
date,6
info,6
late,6
latest,6
m,6
mm77gka9nu,6
mueseum,6
museum,6
news,6
notes,6
oldest,6
page,6
short,6
story,6
students,6
study,6
too,6
